wmoid	name	lat	lon	elev	descript	near_airport	reg	gps_date	latest
72768	GGW	4820	-10662	693	GLASGOW	NULL	0,3,5,6,7,10,14,18	2007-07-16	2023-01-09 12:00:00
72776	TFX	4745	-11138	1130	GREAT FALLS	NULL	0,3,5,6,7,10,14,17	2013-04-01	2023-01-09 12:00:00
72786	OTX	4768	-11763	728	SPOKANE INTNL APT	GEG	0,4,5,6,7,10,14,17	2006-05-22	2023-01-09 12:00:00
72797	UIL	4795	-12455	56	QUILLAYUTE	NULL	0,3,5,6,7,10,14,17	2007-10-22	2023-01-09 12:00:00
74389	GYX	4389	-7025	125	GRAY	NULL	0,4,5,6,7,10,14,15,18	2006-10-02	2023-01-09 12:00:00
74455	DVN	4161	-9058	230	DAVENPORT MUNICIPAL AP	MLI	0,1,2,3,6,7,10,14,18	2007-11-05	2023-01-09 12:00:00
74494	CHH	4166	-6996	15	CHATHAM	NULL	0,3,5,6,7,10,14,15,18	2009-04-27	2021-03-31 12:00:00
74560	ILX	4015	-8933	178	LINCOLN-LOGAN COUNTY AP	BMI	0,1,2,3,6,7,10,14,15,18	2007-07-30	2023-01-09 12:00:00
74646	LMN	3668	-9747	306	SULPHUR MUNICIPAL	NULL	0,1,3,6,7,10,14,16,18,56	NULL	2023-01-09 18:00:00
74794	XMR	2848	-8055	5	CAPE KENNEDY	NULL	0,3,5,6,7,10,14,18	NULL	2023-01-09 11:00:00
76225	MCV	2870	-10607	1428	CHIHUAHUA	NULL	0,3,5,6,7,10,14,18	NULL	2023-01-09 12:00:00
76256	GYM	2795	-11080	12	EMPALME SONORA	NULL	0,3,5,6,7,10,14,17	NULL	2023-01-09 12:00:00
76394	MTY	2587	-10020	450	MONTERREY	NULL	0,3,5,6,7,10,14,18	NULL	2023-01-09 00:00:00
76405	LAP	2407	-11033	14	LA PAZ/DE LEON	NULL	0,3,5,6,7,10,14,17	NULL	2023-01-09 12:00:00
76458	MZT	2318	-10642	4	MAZATLAN SINALOA	NULL	0,3,5,6,7,10,18	NULL	2023-01-09 12:00:00
76595	CUN	2103	-8692	10	CANCUN	NULL	0,3,5,6,7,10,18	NULL	2023-01-09 12:00:00
76612	MGDJ	2068	-10333	1551	GUADALAJARA	NULL	0,3,5,6,7,10,18	NULL	2023-01-09 12:00:00
76644	MID	2095	-8965	11	MERIDA IAP	NULL	0,3,5,6,7,10,18	NULL	2023-01-09 12:00:00
76679	MEX	1943	-9907	2309	MEXICO CITY/INT APT	NULL	0,3,5,6,7,8,18	NULL	2023-01-09 12:00:00
76723	SIC	1872	-11095	34	SOCORRO ISLAND	NULL	0,3,5,6,7,8,17	NULL	NULL
78073	YNN	2505	-7747	2	NASSAU APT	NULL	0,3,5,6,7,10,14,18	NULL	2020-07-20 12:00:00
78486	SDQ	1847	-6988	14	SANTO DOMINGO	NULL	0,3,5,6,7,8,18	NULL	2023-01-09 12:00:00
68263	FAIR	-2592	2822	1500	PRETORIA/IRENE	NULL	7,9,18	NULL	2023-01-06 11:00:00
68174	FAPB	-2387	2945	1222	PIETERSBURG (SAAF)	NULL	7,9,18	NULL	2009-07-26 23:00:00
65503	DHHH	1235	-152	306	OUAGADOUGOU	NULL	7,8,18	NULL	2022-10-13 12:00:00
64910	FKKD	400	970	9	DOUALA (CIV/MIL)	NULL	7,8,18	NULL	2023-01-09 12:00:00
64650	FEFF	440	1852	366	BANGUI/M'POKO (MIL)	NULL	7,8,18	NULL	2020-01-06 11:00:00
64458	FCOU	162	1605	352	OUESSO	NULL	7,8,18	NULL	2022-07-05 11:00:00
64450	FCBB	-425	1525	316	BRAZZAVILLE/MAYA-MAYA	NULL	7,8,18	NULL	2023-01-08 12:00:00
63985	FSSS	-468	5553	4	SEYCHELLES INTL	NULL	7,8,18	NULL	2023-01-09 11:00:00
62721	HSSS	1560	3254	380	KHARTOUM (CIV/MIL)	NULL	7,8,18	NULL	2014-05-02 10:00:00
62414	HESN	2397	3278	194	ASWAN (CIV/MIL)	NULL	7,10,18	NULL	2023-01-07 12:00:00
62378	62378	2987	3133	141	HELWAN	NULL	7,10,18	NULL	2023-01-08 12:00:00
62337	HEAR	3108	3375	32	EL ARISH	NULL	7,10,18	NULL	2023-01-06 12:00:00
62306	HEMM	3133	2722	30	MERSA MATRUH (MIL)	NULL	7,10,18	NULL	2023-01-08 12:00:00
61998	61998	-4935	7025	30	PORT-AUX-FRANCAIS	NULL	7,9,18	NULL	2018-11-26 12:00:00
61996	61996	-3780	7753	29	MARTIN DE VIVIES	NULL	7,9,18	NULL	2011-12-08 11:00:00
61976	61976	-1588	5452	13	SERGE-FROLOW/TROMELIN	NULL	7,8,18	NULL	2011-06-09 11:00:00
61967	FJDG	-730	7240	3	DIEGO GARCIA	NULL	7,8,18	NULL	NULL
61901	61901	-1597	-570	436	ST. HELENA ISLAND	NULL	7,8,18	NULL	2023-01-09 11:00:00
61641	GOOY	1473	-1750	24	DAKAR/YOFF	NULL	7,8,18	NULL	2018-06-09 23:00:00
