wmoid	name	lat	lon	elev	descript	near_airport	reg	gps_date	latest
61291	GABS	1253	-795	381	BAMAKO/SENOU (MIL)	NULL	7,8,18	NULL	2023-01-09 10:00:00
61223	GATB	1672	-300	264	TOMBOUCTOU/TIMBUKTU	NULL	7,8,18	NULL	2012-03-30 11:00:00
61052	DRRR	1348	217	227	NIAMEY-AERO	NULL	7,8,18	NULL	2023-01-09 18:00:00
61024	DRZA	1697	798	502	AGADEZ SOUTH (MIL)	NULL	7,8,18	NULL	2023-01-09 12:00:00
60680	60680	2278	552	1378	TAMANRASSET	NULL	7,10,18	NULL	2023-01-09 00:00:00
60656	DAOF	2767	-813	431	TINDOUF	NULL	7,10,18	NULL	2023-01-08 00:00:00
60630	60630	2720	247	293	IN SALAH	NULL	7,10,18	NULL	2023-01-08 00:00:00
60571	DAOR	3162	-223	773	BECHAR/OUAKDA	NULL	7,10,18	NULL	2023-01-08 23:00:00
60390	DAAG	3672	325	25	DAR-EL-BEIDA/HOUARI	NULL	7,10,18	NULL	2023-01-09 00:00:00
60018	60018	2831	-1625	120	VALLE DE GUIMAR TENERIFE	NULL	7,10,18	NULL	2023-01-09 12:00:00
59981	59981	1683	11233	5	XISHA ISLAND	NULL	7,8,18	NULL	2020-01-19 11:00:00
59758	ZGHK	2003	11035	15	HAIKOU	NULL	7,10,18	NULL	2020-01-19 11:00:00
59431	ZGNN	2282	10835	73	NANNING/WUXU	NULL	7,10,18	NULL	2020-01-20 11:00:00
59316	ZGOW	2340	11668	3	SHANTOU	NULL	7,10,18	NULL	2020-01-19 11:00:00
59280	59280	2367	11305	19	PING YUAN	NULL	7,10,18	NULL	2020-01-20 11:00:00
59265	59265	2348	11130	120	WUZHOU	NULL	7,10,18	NULL	2020-01-19 11:00:00
59211	59211	2392	10662	242	BOSE	NULL	7,10,18	NULL	2020-01-19 11:00:00
59134	59134	2445	11807	63	XIA-MEN	NULL	7,10,18	NULL	2020-01-19 11:00:00
58847	ZSFZ	2608	11928	85	FUZHOU	NULL	7,10,18	NULL	2020-01-19 11:00:00
58725	58725	2733	11743	192	SHAOWU	NULL	7,10,18	NULL	2020-01-19 11:00:00
58665	58665	2865	12008	9	LUQIAO	NULL	7,10,18	NULL	2020-01-18 11:00:00
58633	58633	2897	11887	71	QU XIAN	NULL	7,10,18	NULL	2020-01-19 11:00:00
58606	ZSCN	2860	11592	50	NANCHANG	NULL	7,10,18	NULL	2020-01-19 11:00:00
58457	ZSHC	3023	12017	43	HANGZHOU/JIANQIAO	NULL	7,10,18	NULL	2020-01-19 11:00:00
58424	58424	3052	11703	20	ANQING	NULL	7,10,18	NULL	2020-01-19 11:00:00
58362	58362	3140	12147	4	SHANGHAI	NULL	7,10,18	NULL	2020-01-20 11:00:00
58238	ZSNJ	3200	11880	12	NANJING/NANKING	NULL	7,10,18	NULL	2020-01-20 11:00:00
58203	58203	3293	11583	39	FUYANG	NULL	7,10,18	NULL	2020-01-19 11:00:00
58150	58150	3377	12025	7	SHEYANG/HEDE	NULL	7,10,18	NULL	2020-01-19 11:00:00
