wmoid	name	descript	lat	lon	elev
26781	26781	SMOLENSK	5475	3207	241
26298	26298	BOLOGOE	5790	3405	178
26063	ULLI	ST. PETERBURG	5997	3030	4
25913	UHMM	MAGADAN	5958	15078	118
25703	25703	SEJMCAN	6292	15242	207
25400	25400	ZYRJANKA	6573	15090	43
24959	UEEE	YAKUTSK AIRPORT	6208	12975	103
24908	24908	VANAVARA	6033	10227	260
24688	24688	OJMJAKON	6327	14315	745
24641	24641	VILJUJSK	6377	12162	107
24266	24266	VERHOJANSK	6755	13338	137
24125	24125	OLENEK	6850	11243	220
23955	23955	ALEKSANDROVSKOE	6043	7787	47
23921	23921	IVDEL'	6068	6043	101
23472	23472	TURUHANSK	6578	8795	32
23330	23330	SALEHARD	6653	6653	16
23205	23205	NAR'JAN-MAR	6765	5302	7
22845	22845	KARGOPOL'	6150	3893	121
22550	ULAA	ARHANGEL'SK	6453	4058	5
22522	22522	KEM (PORT)	6498	3480	10
22271	22271	SOJNA	6788	4413	16
22217	22217	KANDALAKSA	6715	3235	26
22113	ULMM	MURMANSK	6897	3305	51
21946	21946	COKURDAH	7062	14790	61
21824	21824	TIKSI	7158	12892	8
17607	LCNC	NICOSIA/ATHALASSA	3515	3340	161
17351	17351	ADANA	3705	3535	28
17240	LTBM	ISPARTA	3775	3055	997
17220	17220	IZMIR	3843	2717	25
17130	17130	ANKARA/CENTRAL	3995	3288	894
17062	17062	ISTANBUL/GOZTEPE	4097	2908	33
17030	17030	SAMSUN CITY	4128	3633	4
16716	LGAT	ATHENS/HELLENKION	3790	2373	14
16622	LGTS	THESSALONIKI/MIKRA	4052	2297	4
16560	LIEE	CAGLIARI/ELMAS(AFB)	3925	905	7
16429	LICT	TRAPANI/BIRGI (AFB)	3792	1250	14
16320	LIBR	BRINDISI/CASALE AFB	4065	1795	10
16245	LIRE	PRATICA DI MARE(AB)	4165	1243	12
16144	16144	S. PIETRO CAPOFIUME	4465	1162	38
16080	LIML	MILANO/LINATE	4543	928	103
16044	LIPD	UDINE/CAMPOFORMIDO	4603	1318	92
15614	LBSF	SOFIA (OBSERVATORY)	4265	2338	595
15420	LRBS	BUCHAREST/BANEASA	4450	2613	91
15120	LRCL	CLUJ-NAPOCA/SOMESEN	4678	2357	413
14240	LDDD	ZAGREB\\MAKSIMIR	4582	1603	123
12843	12843	BUDAPEST/LORINC	4743	1918	139
12425	12425	WROCLAW/MALY GADOW	5113	1698	116
12374	12374	LEGIONOWO	5240	2097	96
12120	12120	LEBA	5475	1753	2
11952	11952	POPRAD/GANOVCE	4903	2032	701
11520	11520	PRAGUE/LIBUS	5000	1445	303
11035	11035	WIEN/HOHE WARTE	4825	1637	200
10868	10868	MUENCHEN/OBERSCHLEISSHEIM	4825	1155	489
10771	ETGK	KUEMMERSBRUCK	4943	1190	419
10739	10739	STUTTGART/SCHNARRENBERG	4883	920	315
10618	ETGI	IDAR-OBERSTEIN(MIL)	4970	733	376
10548	10548	MEININGEN	5057	1037	450
10410	EDZE	ESSEN/MULHEIM	5140	697	153
10393	10393	LINDENBERG	5222	1412	115
10238	ETGB	BERGEN (MIL)	5282	993	69
10200	EDWE	EMDEN/KOENIGSPOLDER	5238	723	5
10184	10184	GREIFSWALD	5410	1340	6
10035	10035	SCHLESWIG	5453	955	48
8594	GVAC	SAL ISL/AMILCAR CAB	1673	-2295	55
8579	8579	LISBON/GAGO COUTINHO	3877	-913	105
8522	8522	FUNCHAL	3263	-1690	56
8508	8508	LAJES/SANTA RITA	3873	-2707	113
8495	LXGB	GIBRALTAR (CIV/MIL)	3615	-533	3
8430	8430	MURCIA CITY	3800	-117	62
8023	8023	SANTANDER CITY	4347	-382	65
8001	8001	LA CORUNA CITY	4337	-842	67
7761	LFKJ	AJACCIO/CAMPO ORO	4192	880	5
7645	LFME	NIMES/COURBESSAC	4387	440	60
7510	LFBD	BORDEAUX/MERIGNAC	4483	-70	45
7481	LFLL	LYON/SATOLAS	4573	508	248
7180	LFSN	NANCY/ESSEY	4868	622	225
7145	7145	TRAPPES (AUT)	4877	202	168
7110	LFRB	BREST/GUIPAVAS	4845	-442	99
6610	LSMP	PAYERNE (MIL/AUT)	4682	695	490
6260	EHDB	DE BILT	5210	518	2
6181	6181	KOEBENHAVN\\JAEGERSBORG	5577	1253	40
6011	6011	THORSHAVN (PORT)	6202	-677	55
4360	BGAM	ANGMAGSSALIK	6560	-3763	50
4339	BGSC	SCORESBYSUND	7048	-2197	66
4320	BGDH	DANMARKSHAVN (PORT)	7677	-1867	12
4270	BGBW	NARSSARSSUAQ	6118	-4543	4
4220	BGEM	EGEDESMINDE/AUSIAT	6870	-5275	40
4018	BIKF	KEFLAVIK (CIV\\NAS)	6397	-2260	54
3953	3953	VALENTIA OBSERVATORY	5193	-1025	9
3918	3918	CASTOR BAY	5430	-619	15
3882	3882	HERSTOMONCEUX WEST	5090	32	54
3808	3808	CAMBORNE	5022	-532	87
3238	3238	ALBEMARLE	5501	-152	141
3005	3005	LERWICK/SHETLAND IS	6013	-118	82
2963	2963	JOKIOINEN	6082	2350	103
2935	EFJY	JYVASKYLA (MIL/CIV)	6240	2567	139
2836	EFSO	SODANKYLA	6737	2665	178
2591	ESQV	VISBY AERO STATION	5765	1835	45
2527	ESGG	GOTEBORG/LANDVETTER	5767	1230	155
2365	ESNN	SUNDSVALL/HARNOSAND	6253	1747	6
2185	ESPA	LULEA/KALLAX (AFB)	6555	2213	16
1415	ENZV	STAVANGER/SOLA(AFB)	5887	567	33
1241	ENOL	ORLAND III(NOR-AFB)	6370	960	7
1152	ENBO	BODO VI (CIV/MIL)	6725	1440	8
1028	ENBJ	BJORNOYA ISLAND	7452	1902	18
1004	ENAS	NY-ALESUND II	7892	1193	8
1001	ENJA	JAN MAYEN(NOR-NAVY)	7093	-867	9
68424	FAUP	UPINGTON/PIERRE VAN	-2840	2127	836
68512	FASB	SPRINGBOK	-2967	1787	1006
68906	FAGE	GOUGH ISLAND	-4035	-988	54
70026	BRW	POINT BARROW	7130	-15678	12
70133	OTZ	KOTZEBUE	6687	-16263	5
70200	OME	NOME AP	6450	-16543	5
70219	BET	BETHEL	6078	-16180	36
70231	MCG	MCGRATH	6297	-15562	103
70261	FAI	FAIRBANKS	6482	-14787	135
70273	ANC	ANCHORAGE IAP/PT. CAMPBE	6117	-15002	45
70308	SNP	ST PAUL ISLAND	5715	-17022	10
70316	CDB	COLD BAY	5520	-16272	30
70326	AKN	KING SALMON	5868	-15665	15
70350	ADQ	KODIAK	5775	-15248	4
70361	YAK	YAKUTAT	5952	-13967	10
70414	SYA	SHEMYA	5272	-17410	37
71043	YVQ	NORMAN WELLS (UA)	6528	-12675	95
71081	YUX	HALL BEACH/HALL LK	6878	-8125	7
71082	YLT	ALERT	8250	-6233	66
71600	YSA	SABLE ISLAND	4393	-6002	4
71801	YYT	TORBAY/ST JOHNS	4767	-5275	140
71815	YJT	STEPHENVILLE/HARMON AFB	4853	-5855	60
71906	YVP	KUUJJUAQ (UA)	5810	-6842	60
71907	YPH	INUKJUAK	5845	-7812	26
71909	YVN	IQALUIT (UA)	6375	-6855	35
71913	YYQ	CHURCHILL	5875	-9407	29
71915	YZS	CORAL HARBOUR	6420	-8337	57
71917	YEU	EUREKA	7998	-8593	10
71924	YRB	RESOLUTE	7472	-9498	40
71925	YCB	CAMBRIDGE BAY	6910	-10512	25
71926	YBK	BAKER LAKE (UA)	6430	-9600	49
71934	YSM	FT SMITH (UA)	6003	-11195	203
71945	YYE	FORT NELSON UA	5883	-12260	377
71957	YEV	INUVIK (UA)	6832	-13353	103
71964	YXY	WHITEHORSE	6072	-13507	704
76654	MMZL	MANZANILLO	1907	-10433	3
76692	VER	VERACRUZ	1917	-9612	13
78016	XKF	BERMUDA/(MCKINDLY AFB)	3237	-6468	37
78397	KJP	KINGSTON/PALISADOES	1793	-7678	1
78526	JSJ	SAN JUAN/ISLA VERDE	1843	-6600	3
78583	ZBZ	BELIZE	1753	-8830	5
78762	ROL	SAN JOSE/JUAN SANTA MARIA	998	-8422	920
78866	ACM	SINT MARTIN/JULIANA	1805	-6312	3
78897	FFR	POINT A PITRE/RAIZET	1627	-6152	8
78954	BDI	SEAWELL APT	1307	-5950	47
78970	KPP	TRINIDAD/PIARCO IAP	1058	-6135	12
80222	SKBO	BOGOTA/ELDORADO	470	-7413	2548
81405	SOCA	CAYENNE/ROCHAMBEAU	483	-5237	9
82332	SBMN	MANAUS/PONTA PELADA	-315	-5998	84
82397	82397	FORTALEZA	-373	-3855	19
82824	SBPV	PORTO VELHO(CV/MIL)	-877	-6392	88
82900	82900	RECIFE/CURADO	-805	-3492	7
82965	SBAT	ALTA FLORESTA	-987	-5610	288
82983	82983	PETROLINA	-938	-4048	370
83362	SBCY	CUIABA/MARECHAL	-1565	-5610	182
83378	SBBR	BRASILIA (CIV/MIL)	-1587	-4793	1061
83566	83566	CONFIS INTNL ARPT	-1962	-4357	827
83612	SBCG	CAMPO GRANDE INTL	-2047	-5467	556
83650	83650	TRINDADE ISLAND	-2050	-2932	5
83746	SBGL	GALEAO/RIO(CIV/MIL)	-2282	-4325	6
